	FILENAME	TRACK TITLE FOR REPORTING	COMPOSER/S 		PUBLISHER	DESCRIPTION	BPM	SUGGESTED USE	keywords
SERIES 1	MKR tension 28	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Warm Pads with light percussion. Keyboard lines- GTR pulse		Taste Food/ Judging	
SERIES 1	MKR Tension 29	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast synth pulses with string accents and percussion		Taste food/ Judging/ Drama	
SERIES 1	MKR Tension 30	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A	Fast synth pulses with string accents and percussion		Taste Food/ Judging/ Drama	
SERIES 1	MKR Tension 31	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Hi Synth pulses/ evolving pads/ string accents		Taste Food/ Judging	
SERIES 1	MKR Tension 32	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Clock ticking perc with string pads and piano melody - Builds		Taste Food/ Judging	
SERIES 1	MKR tension 33	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Synth Pulses - with eiree vox sounds		Taste food/ judging	
SERIES 1	MKR Tension 34	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	mallet riffs with low Bass lines/ Kitchen Perc		Taste Food	
SERIES 1	MKR tension 35	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Low sweeping pads with Bass pulse/ GTR FX		Taste Food/ Judging	
SERIES 1	MKR Tension 36	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	fast light perc with warm pads		Taste Food/ judging	
SERIES 1	MKR Tension Glue 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Evolving GTR Pulse - light percussion		Taste Food/ Judging	
SERIES 1	MKR Tension Glue 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Evolving GTR Pulse - light percussion		Taste Food/ Judging	
SERIES 1	MKR Tension Glue 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	medium GTR Pulse - with Building pads		Taste Food/ Judging	
SERIES 1	MKR Yummy Food	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Optimistic light build		Taste Food /Judging Success	
									
SERIES 2	MKR S02 2011 Short Celebrate 2 Lite	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Celebratory			
SERIES 2	MKR S02 2011 Short Celebrate 2 No Drums	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Celebratory			
SERIES 2	MKR S02 1 Minute to Go	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Face Percussion. Drum stabs. Driving.		Cooking countdown - KHQ	
SERIES 2	MKR  S02 Action	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Medium paced. Precussive with strings (many stems)		Cooking / KHQ	
SERIES 2	MKR  S02 Active 23 	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast modern groove - String punctuations - Builds		Shopping/Cooking	
SERIES 2	MKR  S02 Active 24	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Busy Bass riff with synth swells - Builds to climax		Cooking/ Taste Food	
SERIES 2	MKR  S02 Active 25	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Fast modern groove - GTR Riffs - Hyperactive Drum punctuations		Shopping/Cooking	
SERIES 2	MKR  S02 Active 26	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast choppy groove with String Riff - Builds		Shopping/Cooking	
SERIES 2	MKR  S02 Active 27	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Medium fast groove - Acoustic bass riff - Percussive highlights		Shopping/Cooking	
SERIES 2	MKR  S02 Active 28	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Manic drum groove with synth riffs		Shopping	
SERIES 2	MKR  S02 Active 29	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast drum groove with stabs - "Bad" - Key change in middle		Shopping/Cooking	
SERIES 2	MKR  S02 Active 30	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Very Fast drums with Low Piano riff - Stabs - Manic busy		Shopping/ Cooking	
SERIES 2	MKR  S02 Active 31	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Fast groove - Hyperactive synths and percussion		Shopping/Cooking	
SERIES 2	MKR  S02 Active 32	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Fast straight groove "On Broadway" - Key Change build		Shopping	
SERIES 2	MKR  S02 Active 33	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast drum and bass groove - subdued key overlay		Shopping	
SERIES 2	MKR  S02 Active 34	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast dirty groove with key riff - 		Shopping	
SERIES 2	MKR  S02 Active 35	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Modern Fast beat with hyperactive synth riffs		Shopping	
SERIES 2	MKR  S02 Active 36	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Medium Fast funk beat with GTR comps		Shopping	
SERIES 2	MKR S02 Anticipate Tension 6	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Busy Perc with light repeated E.Piano riffs		Judge/Taste Food/ Tension	
SERIES 2	MKR S02 Anticipate Uplift 1	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Slow. Sparse. Tense		Judge/Taste Food/ Tension	
SERIES 2	MKR S02 Anticipate Uplift 2	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Tension builder. Tempo faster than uplift 1.		Judge/Taste Food/ Tension	
SERIES 2	MKR S02 Anticipate Uplift 3	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Slow. Reverb beats. Short peiec to end the tension		Judge/Taste Food/ Tension	
SERIES 2	MKR  S02 BIG Drama Build 	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Huge orchestral Build		Tease/ Drama Big	
SERIES 2	MKR  S02 BIG Drama Build 2	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Big string riff with huge Orch hits - Big brass and orch build		Tease/ Drama Big	
SERIES 2	MKR  S02 Big Drama Build 3	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	String Pulse with Big orch Hits - tense middle - build at end		Tease/ Drama Big	
SERIES 2	MKR  S02 Big Drama Build 4	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Strong string riff - Joined by Horns - Big percussion build		Tease/ Drama Big/Supertease	
SERIES 2	MKR  S02 Big Drama Build 5	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Strong string riff - horn stabs - Tense string suspense end		Tease/ Drama Big/Supertease	
SERIES 2	MKR  S02 Big Drama Build 6	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Heavy Stings. Military snare drum. Stabs.		Tease/ Drama Big	
SERIES 2	MKR  S02 Big Drama Build 7	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Sparse beginning builds; celtic like jig. Great stems.		Tease/ Drama Big	
SERIES 2	MKR  S02 Big Drama Build 8	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Strong string riff - Big percussion build to Big ending		Tease/ Drama Big	
SERIES 2	MKR  S02 Big Drama Build 9	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Strong strings - lighter drama		Tease/ Drama 	
SERIES 2	MKR  S02 Big Drama Build 10	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Strings; heavy cymbal crashes. Huge drama stabs		Tease/ Drama 	
SERIES 2	MKR  S02 Big Drama Build BS	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Military snare. Builds to huge end.		Tease/ Drama Big/Supertease	
SERIES 2	MKR  S02 Build to Celebrate 7	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Repeated piano build - slowly building through out		Success/ Reward	
SERIES 2	MKR  S02 Build to Celebrate 8	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Snow Patrol - Piano riff with build		Success/ Reward	
SERIES 2	MKR  S02 Build to Celebrate 9	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Snow Patrol - Piano riff with build		Success/ Reward	
SERIES 2	MKR  S02 Build to Celebrate 10	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Piano and Cello soft start - into piano build - Full groove		Success/ Reward	
SERIES 2	MKR  S02 Build to Celebrate 11	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Piano & GTR melody with string punctuations into build		Success/ Reward	
SERIES 2	MKR  S02 Build to Celebrate 12	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	U2 style GTR build into full groove		Success/ Reward	
SERIES 2	MKR  S02 Build to Celebrate 13	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Unusual Acoustic into build - into full groove		Success/ Reward	
SERIES 2	MKR  S02 Build to Celebrate 14	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	GTR build to Big groove		Success/ Reward	
SERIES 2	MKR  S02 Build to Celebrate 15	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A				
SERIES 2	MKR  S02 Build to Celebrate BS 16  Lite	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Soft. Acoustic Guitar.		Happy Subdued Success	
SERIES 2	MKR  S02 Build to Celebrate BS 17  Lite	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Medium pace. Paiano. Drums. Driving bass tempo. Builds		Success/ Reward	
SERIES 2	MKR  S02 Busy	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Medium/fast Funk rythum. Driving percussion. Incl. Soft builds		Cooking / KHQ	
SERIES 2	MKR  S02 Busy 2	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Medium/fast.  Strings. Synth. Driving percussion		Cooking	
SERIES 2	MKR S02 Cooking Beat 1	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A				
SERIES 2	MKR S02 Cooking Beat 2	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A			Cooking - Neutral driving 	
SERIES 2	MKR S02 Cooking Beat 3	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A			Cooking - Neutral driving 	
SERIES 2	MKR S02 Cooking Beat 4	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A			Cooking - Neutral driving 	
SERIES 2	MKR S02 Cooking Beat 8	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A			Cooking - Neutral driving 	
SERIES 2	MKR S02 Cooking Beat 9	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A			Cooking - Neutral driving 	
SERIES 2	MKR S02 Cooking Beat 10	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A			Cooking - Neutral driving 	
SERIES 2	MKR  S02 Count Down	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast Driving. Big Beat. Tension strings. - many stems		Cooking - the race	
SERIES 2	MKR  S02 Count Down 2	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A				
SERIES 2	MKR  S02 Dark Mood	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Slow. Percussive toms. Haunting Reflective Piano		Troubled/Worried	
SERIES 2	MKR  S02 Drone 4	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Low drone with String pulse/ Light perc/ hi Piano melody		Taste Food/ Judging	
SERIES 2	MKR  S02 Drone 5	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Hi repeated synth pulse with warm swell pads/ Low Pizz strings		Taste Food/ Judging	
SERIES 2	MKR  S02 Drone 6	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Clock ticking/ Piano line repeated/ synth FX/ Low string punct		Taste Food/ Judging	
SERIES 2	MKR  S02 Drone 7	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Low pad with reverse perc FX		Taste Food/ Judging	
SERIES 2	MKR  S02 Drone 8	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Neutral drone….not too dark…not too light		Taste Food/ Judging	
SERIES 2	MKR  S02 Elim Positive 1	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A			Elimination	
SERIES 2	MKR  S02 Elim Positive 2	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A			Elimination	
SERIES 2	MKR  S02 Elimination simple	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A			Elimination	
SERIES 2	MKR  S02 Elimination simple 2	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A			Elimination	
SERIES 2	MKR  S02 Elimination Simple 3 Strings	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Sad, Soft, Sparse		Elimination	
SERIES 2	MKR  S02 Elimination Simple 4 Strings	My Kitchen Rules Background (Series 2)							
SERIES 2	MKR S02 Epic Cook off	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A			Cooking - KHQ	
SERIES 2	MKR S02 Explain	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Slow, strings, sparse 		Judges talking to teams	
SERIES 2	MKR  S02 Frantic Kitchen 17	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Jazzy Bass Riff with vibe accents		Cooking/Fun	
SERIES 2	MKR  S02 Frantic Kitchen 18	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast Jazzy Bass/drums -		Cooking/Fun	
SERIES 2	MKR  S02 Frantic Kitchen 19	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Pots N Pans percussion with "Seinfeild" Bass/ Funky GTR		Cooking/Fun	
SERIES 2	MKR S02 Get Going	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A			Cooking	
SERIES 2	MKR S02 Here We Go	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Slow/Medium. Serious. Getting down to business. Melodic stabs		Cooking	
SERIES 2	MKR S02 Journey	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Building, couragious. Soft stings. Heroic horns - many stems		Tasting / Serving / Anticipation	
SERIES 2	MKR S02 Joy Action	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A			Elimination Positive	
SERIES 2	MKR  S02 Kitchen Beat 1	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	drum beat with percussion overlays		Cooking	
SERIES 2	MKR  S02 Kitchen Beat 2	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast syncopated drum beat with accoustic Bass - Perc joins		Cooking	
SERIES 2	MKR  S02 Kitchen Beat 3	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast Latin drums and Bass / Heavy Percussion. Up tempo. 32 secs / Running Bass. Latino dance rhythm		Cooking  - Neutral driving 	
SERIES 2	MKR  S02 Kitchen Beat 4 	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Strong modern beat with Latin drum fills		Cooking	
SERIES 2	MKR  S02 Light excitement	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Busy but Sparse / Anticipatory / Fast plucked GTR and mallets with string builds / Fast GTR pulse/ Piano melody/ String swells		Success/ Reward / Serving	
SERIES 2	MKR S02 Move Along	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Builds. String/stynth stabs. Percussive groove. Action		Cooking Action to build	
SERIES 2	MKR S02 Neutral NRG 1	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Neutral. Trace. Synth like percussion		Cook - Neutral driving 	
SERIES 2	MKR S02 Neutral NRG 2	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Neutral. Percussive back beat		Cook - Neutral driving 	
SERIES 2	MKR S02 Neutral NRG 3	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Neutral. Percussive back beat. Synth bass. Driving		Cook - Neutral driving 	
SERIES 2	MKR S02 Neutral NRG 4	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Neutral. Dance groove. Heavy kick drum and hi-hat. Synth Active.		Cook - Neutral driving 	
SERIES 2	MKR S02 Neutral NRG 5	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Softer groove with strong baclk beat. Ends will neat "rewind" sfx		Cook - Neutral driving 	
SERIES 2	MKR  S02 NRG 13	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Solid Modern GTR Pop		Set up/ Shopping	
SERIES 2	MKR  S02 NRG14	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	GTR Riff set up into - Frantic drum/Bass		Set up/ Shopping	
SERIES 2	MKR  S02 NRG 15	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Modern pop up vibe track		Set up/ Shopping/ Success	
SERIES 2	MKR S02 Quirky 5	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Plunking strings. Sliding bass.		Humour/Character	
SERIES 2	MKR S02 Quirky 6	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Faster version of above with Xylophone		Humour/Character	
SERIES 2	MKR  S02 Reflect 3	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Distant Piano building into strong warm beat		Reflect/ Journeys End	
SERIES 2	MKR  S02 Reflect 4	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Warm pads and piano melody		Reflect/ Journeys End	
SERIES 2	MKR  S02 Reflect 5	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	GTR Pulse/ Warm pads - build to drums		Reflect/ Journeys End	
SERIES 2	MKR  S02 Satisfaction 1	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	GTR intro into medium rock		Journeys End / Up lifting	
SERIES 2	MKR  S02 Short Celebrate 1	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	The edge guitar. Double beat bass. A bit 80's		Success	
SERIES 2	MKR  S02 Short Celebrate 2	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Guitar. Drums. Builds		Success	
SERIES 2	MKR  S02 ShortTease 1	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Dramatic to resolve		Tease  / Cliffhanger	
SERIES 2	MKR  S02 ShortTease 2	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Dramatic to resolve.		Supertease  / Cliffhanger	
SERIES 2	MKR  S02 ShortTease 3	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Dramatic stabs to resolve Cliffhanger track		Supertease  / Cliffhanger	
SERIES 2	MKR S02 Slowly but Surely	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Slowish. Driving. Sparse. tense		Neutral. Slow drive	
SERIES 2	MKR  S02 SUPERTEASE	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Master Supertease Track. Dramatic Highs and Lows (3 mins with Stems)		Supertease Master Track	
SERIES 2	MKR  S02 Taste Food 12	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	GTR Pulse - orchestral swells		Taste Food	
SERIES 2	MKR  S02 Taste Food 13	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	Synth Pulse - orchestral swells		Taste Food	
SERIES 2	MKR  S02 Taste Food 14 	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	GTR Pulse - orchestral swells		Taste Food	
SERIES 2	MKR  S02 Taste Food 15	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Low warm pads with Perc		Taste Food	
SERIES 2	MKR  S02 Taste Food 16	My Kitchen Rules Background (Series 2)	Brydon Stace		N/A	GTR Pulse with beat/ Keyboard moody chords		Taste Food	
SERIES 2	MKR  S02 Taste Food 17	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Warm Pads and repeated keys with string build		Taste Food	
SERIES 2	MKR  S02 Taste Food 18	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Time ticking perc with GTR Pads		Taste Food	
SERIES 2	MKR  S02 Taste Food 19	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Fast GTR Picking with bass pulse		Taste Food	
SERIES 2	MKR  S02 Team Elim 1	My Kitchen Rules Background (Series 2)	Jay stewart 		N/A	Sad but positive. Moog synth		Elimination	
